"Dataset_ID","Category","Product_or_processing_level","Variables","Period","Units","Original_or_local_analysis_path","Archive_location","Access_route","Current_status","Role_and_notes"
"D01","Satellite","GLASS blue-sky monthly","Surface albedo","2001-2024","fraction","D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_monthly","not copied","reused public source / locally processed","current input","Monthly GLASS black-sky and white-sky combination used to construct the primary annual albedo product."
"D02","Satellite","GLASS blue-sky annual updated","SurfaceAlbedo_GLASS; AlbedoLoss","2001-2024","fraction; fraction anomaly","D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated","compact summaries only","generated processed data","current primary product","Primary albedo product. The masked annual files are under annual_native_ERA5Land_landmask."
"D03","Satellite","MODIS blue-sky annual","Surface albedo","2001-2024","fraction","D:\10_Research\01_Datasets\02_DataProcess\04_MODIS_BlueSky_Albedo_Global\Annual","validation tables only","reused public source / locally processed","validation only","Used for cross-product and site validation; not averaged with GLASS for the primary analysis."
"D04","Reanalysis","ERA5 annual GeoTIFF","T2M; Rn; LH; SH; VPD; Cloud; SWdown; LWdown and supporting fields","2001-2024","variable-specific","D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif","not copied","reused public source","current input","Annual meteorological and surface-energy variables. Flux sign conventions are handled in preprocessing."
"D05","Reanalysis","ERA5-Land","SM; lsm","2001-2024 / static mask","m3 m-3; fraction","D:\10_Research\01_Datasets\01_DataRaw\lsm.nc","data/source_data/controls/global_land_mask_R3_common.tif","reused public source","current input","Land is lsm >= 0.5. The same NetCDF has three byte-identical local aliases listed in PATH_EQUIVALENCE.csv."
"D06","Validation","FLUXNET/ONEFlux processed site records","Incoming and outgoing shortwave radiation; annual site albedo","site-dependent","W m-2; fraction","D:\10_Research\01_Datasets\02_DataProcess\02_Fluxnet_Station_Validation","data/source_data/validation","third-party observational data","current validation","Independent temporal-consistency check; not a global calibration."
"D07","Spatial definitions","Regional and land-boundary shapefiles","Eight regions and dissolved land outline","static","not applicable","D:\10_Research\2025_Albedo_Temp\02_Data_Process\04_ShapeFiles","data/regions","generated/reused vector data","current input","Defines the eight regional summaries used in Figs. 2-4 and supplementary analyses."
"D08","Background control","Annual control table","CO2 RF; ONI; ONI lag 1; SST anomaly; AOD; Snow","2001-2024","variable-specific","D:\10_Research\01_Datasets\04_Results\Result3_Figures_optimized\R3_Tables\R3_annual_background_controls.csv","data/source_data/controls","generated processed data","current input","ONI is an annual scalar control and is never represented as a spatial field."
"D09","Background control","NOAA CO2 annual table","CO2 concentration and radiative forcing","2001-2024","ppm; W m-2","D:\10_Research\01_Datasets\01_DataRaw\NOAA_CO2\00_CO2_RF_for_SHAP_Annual.csv","represented in D08","reused public source / locally derived","current scalar control","Spatially uniform pseudo-CO2 rasters were rejected; CO2 is retained only as an annual background control."
"D10","Background-control workspace","NOAA/CarbonTracker audit workspace","CO2 fields and metadata","product-dependent","product-dependent","D:\10_Research\2025_Albedo_Temp\01_Data_Raw\01_Images\CO2_NOAA_Python","not copied","reused public source","audit provenance","Used for CO2 source inspection; not the active pixel-resolved SHAP predictor."
"D11","Harmonized analysis data","Result 3 common grid rasters","T2M; SurfaceAlbedo_GLASS; AlbedoLoss; Rn; SM; LH; SH; VPD; Cloud and controls","2001-2024","variable-specific","D:\10_Research\01_Datasets\04_Results\Result3_Figures_optimized\R3_CommonGrid_Rasters","selected derived rasters only","generated processed data","current model input","Common-grid annual pixel fields used by energy-partitioning and XGBoost-SHAP analyses."
"D12","Harmonized analysis data","Native exact annual rasters","Pre-harmonization annual variables","2001-2024","variable-specific","D:\10_Research\01_Datasets\04_Results\Result3_Figures_optimized\R3_Annual_Rasters_NativeExact","not copied","generated processed data","intermediate","Retained locally for provenance before common-grid harmonization."
"D13","Model outputs","Final common-mask XGBoost-SHAP outputs","Mean absolute SHAP and P3-minus-P1 gain","2001-2024; P1-P3","model-output units","Final values represented by figures_updated_0811 Source_Data","data/source_data/fig4 and data/source_data/supplementary","generated processed data","current final output","Uses 335,413 valid pixels; AlbedoLoss 0.084 in P1 and 0.133 in P3; 80.1% positive spatial gain."
"D14","Model outputs","Earlier Result3 R3_SHAP outputs","Earlier SHAP tables and rasters","2001-2024","model-output units","D:\10_Research\01_Datasets\04_Results\Result3_Figures_optimized\R3_SHAP","not copied as active data","generated processed data","superseded","Earlier 342,123-pixel outputs (including 0.103 to 0.139) are retained locally only as history and must not be used for the final manuscript."
"D15","Result source data","Result1 figure workspace","Fig. 2 and Fig. 3 source tables and rasters","2001-2024","variable-specific","D:\10_Research\01_Datasets\04_Results\Result1_Figures","data/source_data/fig3 and validation","generated processed data","current where mapped","Source location for final energy-partitioning and station-validation files."
"D16","Pathway source data","Full-record standardized pathway outputs","Annual means; coefficients; SE; CI; P; R2","2001-2024","standardized coefficients and variable-specific annual means","D:\10_Research\2025_Albedo_Temp\06_文档写作\02_投稿过程期刊打包\0812_Nature投稿\图件资料\PathAnalysis_2001_2024","data/source_data/pathway","generated processed data","current final output","Formal interpretation uses only Full Record, n=24. The review archive excludes short-period diagnostic rows."
