"Package_path","Original_source_path","Role","Status"
"src/preprocessing/01_compute_glass_blue_sky_annual.py","0812_Nature submission/Code/Compute_GLASS_BlueSky_Annual_ERA5LandMask.py","GLASS annual albedo and common-mask preprocessing","retained final workflow"
"src/preprocessing/02_prepare_result3_common_grid.py","Result3_Figures_optimized/01_prepare_result3_optimized_annual_rasters.py","Common-grid annual raster construction","retained workflow"
"src/preprocessing/03_prepare_background_controls.py","Result3_Figures_optimized/03_download_prepare_missing_background_variables.py","Background-control acquisition and preparation","retained workflow"
"src/preprocessing/04_fix_sst_land_mask.py","Result3_Figures_optimized/04_fix_sst_land_mask_and_landfill.py","SST mask correction","retained workflow"
"src/preprocessing/05_validate_result3_rasters.py","Result3_Figures_optimized/01_check_result3_rasters_and_shap_variables.py","Raster and variable QA","retained workflow"
"src/analysis/01_fig2_temporal_analysis.py","0812_Nature submission/Code/Plot_Fig2_Updated_GLASS_T2M.py","Fig. 2 annual series and change-point analysis","retained final workflow"
"src/analysis/01b_fig2_spatial_coupling.py","created from the frozen common-grid definitions during archive consolidation","Fig. 2 spatial correlation, trend classes and regional tables","portable consolidation of final calculation"
"src/analysis/02_fig3_energy_partition_analysis.py","03_Code/036_Result/Result1_2_Fig3_energy_transition_pipeline.py","Fig. 3 energy partition analysis","retained workflow"
"src/analysis/03_xgboost_shap_analysis.py","Result3_Figures_optimized/05_run_r3_shap_reorganized_model1_3.py","Background and core XGBoost-SHAP analysis","retained and common-mask clarified"
"src/analysis/04_pathway_analysis_full_record.py","0812_Nature submission/Code/path_analysis_updated_2001_2024.py","Full-record linked standardized OLS analysis","retained final workflow"
"src/validation/01_station_validation_controls.py","Result3_Figures_optimized/10_result1_3_station_validation_controls.py","Station and product validation","retained workflow"
"src/validation/02_check_co2_attributes.py","Result3_Figures_optimized/02_check_co2_noaa_attributes_for_result3.py","CO2 source audit","retained provenance QA"
"src/validation/03_editor_revision_controls.py","editorial revision consolidation","ALLUMs reproduction, albedo trend controls, four-product site validation and MCD43A3 contribution sensitivity","single portable revision entry point"
"src/figures/main/01_plot_fig2.py","figures_updated_0811/11_plot_Fig2_spatial_embedded_regional.py","Final Fig. 2 layout","retained plotting workflow"
"src/figures/main/02_plot_fig3.py","07_第二次定稿/code/Fig3c_regional_heat_retention_revised.py","Final Fig. 3 layout and regional summaries","retained plotting workflow"
"src/figures/main/03_plot_fig4.py","07_第二次定稿/code/Fig4_revised_4panel_layout.py","Final Fig. 4 layout","retained plotting workflow"
"src/figures/supplementary/*.py","0812_Nature submission/图件资料/figures_updated_0811","Supplementary Figs. S1-S10 and QA","retained final plotting set; final numbering mapped separately"
