"Figure","Scientific_role","Analysis_code","Plotting_code","Primary_source_data","Reference_output","Reproducibility_state"
"Fig. 1","Conceptual background illustration","not applicable","manual editable illustration workflow","assets external to numerical analysis","not included as analytical output","manual asset"
"Fig. 2","Temporal evolution, BIC change point, spatial coupling and directional classes","src/analysis/01_fig2_temporal_analysis.py; src/analysis/01b_fig2_spatial_coupling.py","src/figures/main/01_plot_fig2.py","data/source_data/fig2 plus spatial outputs created by 01b","reference_outputs/main/Fig2_surface_albedo_decline_land_warming_embedded_regional.png","inspectable; full spatial rerun requires annual rasters"
"Fig. 3","Surface-energy partitioning and heat-retention diagnostic","src/analysis/02_fig3_energy_partition_analysis.py","src/figures/main/02_plot_fig3.py","data/source_data/fig3","reference_outputs/main/Fig3_energy_partition_regional_revised.png","verified source data; full rerun requires common-grid rasters"
"Fig. 4","Background-controlled fitted contributions, pathway support and spatial gain","src/analysis/03_xgboost_shap_analysis.py; src/analysis/04_pathway_analysis_full_record.py","src/figures/main/03_plot_fig4.py","data/source_data/fig4; data/source_data/pathway","reference_outputs/main/Fig4_albedo_loss_contribution_feedback_shift_redrawn.png","verified final source data; full model rerun requires common-grid rasters"
"Fig. S1","Station validation","src/validation/01_station_validation_controls.py","src/figures/supplementary/01_plot_Fig_S1_station_validation.py","data/source_data/validation; data/source_data/supplementary/FigS1_*","reference_outputs/supplementary/Fig_S1_station_validation.png","verified source data"
"Fig. S2","Spatial means and slopes","src/analysis/01b_fig2_spatial_coupling.py","src/figures/supplementary/02_plot_Fig_S2_1_spatial_mean_slope.py","data/source_data/supplementary/FigS2_1_*","reference_outputs/supplementary/Fig_S2_spatial_mean_slope.png","verified source data"
"Fig. S3","Regional annual means and slopes","src/analysis/01b_fig2_spatial_coupling.py","src/figures/supplementary/03_plot_Fig_S2_2_regional_mean_slope_timeseries.py","data/source_data/supplementary/FigS2_2_*","reference_outputs/supplementary/Fig_S3_regional_mean_slope_timeseries.png","verified source data"
"Fig. S4","Regional spatial coupling distributions","src/analysis/01b_fig2_spatial_coupling.py","src/figures/supplementary/04_plot_Fig_S3_spatial_coupling_violin.py","data/source_data/supplementary/FigS3_* plus Fig. 2 spatial rasters","reference_outputs/supplementary/Fig_S4_spatial_coupling_regional_violin.png","inspectable; map regeneration follows Fig. 2 spatial stage"
"Fig. S5","Energy-partition diagnostics","src/analysis/02_fig3_energy_partition_analysis.py","src/figures/supplementary/05_plot_Fig_S4_energy_partition_diagnostics.py","data/source_data/supplementary/FigS4_*","reference_outputs/supplementary/Fig_S5_energy_partition_diagnostics.png","verified source data"
"Fig. S6","Heat-retention distribution and regional summaries","src/analysis/02_fig3_energy_partition_analysis.py","src/figures/supplementary/06_plot_Fig_S5_heat_retention_spatial.py","data/source_data/fig3; data/source_data/supplementary/FigS5_*","reference_outputs/supplementary/Fig_S6_heat_retention_spatial.png","verified source data"
"Fig. S7","Background controls and model performance","src/preprocessing/03_prepare_background_controls.py; src/analysis/03_xgboost_shap_analysis.py","src/figures/supplementary/07_plot_Fig_S6_background_controls.py","data/source_data/controls; data/source_data/supplementary/FigS6_*","reference_outputs/supplementary/Fig_S7_background_controls.png","verified source data"
"Fig. S8","Multivariable spatial SHAP gain","src/analysis/03_xgboost_shap_analysis.py","src/figures/supplementary/08_plot_Fig_S7_1_SHAP_spatial_gain.py","data/source_data/supplementary/FigS7_1_*","reference_outputs/supplementary/Fig_S8_SHAP_spatial_gain.png","verified source data"
"Fig. S9","Regional and period SHAP contribution trends","src/analysis/03_xgboost_shap_analysis.py","src/figures/supplementary/08_plot_Fig_S7_2_SHAP_temporal_trends.py","data/source_data/supplementary/FigS7_2_*","reference_outputs/supplementary/Fig_S9_SHAP_temporal_trends.png","verified source data"
"Fig. S10","Full-record standardized pathway","src/analysis/04_pathway_analysis_full_record.py","src/figures/supplementary/09_plot_Fig_S8_full_record_pathway.py","data/source_data/pathway","reference_outputs/supplementary/Fig_S10_full_record_standardized_pathway.png","verified source data"
"Fig. S11","ALLUMs, GLASS and MCD43A3 trend controls under formal and harmonized estimands","src/validation/03_editor_revision_controls.py","src/validation/03_editor_revision_controls.py","data/source_data/editor_revision/ALLUMs_GLASS_anomaly_source_data_2001_2020.csv; data/source_data/editor_revision/harmonized_common_grid_series_2001_2020.csv","reference_outputs/supplementary/Supplementary_Fig_S11_albedo_trend_controls.png","verified compact source data"
"Fig. S12","Four-product validation against flux-site albedo","src/validation/03_editor_revision_controls.py","src/validation/03_editor_revision_controls.py","data/source_data/editor_revision/station_validation_long_four_products_2001_2020.csv","reference_outputs/supplementary/Supplementary_Fig_S12_four_product_site_validation.png","verified compact source data"
"Fig. S13","GLASS-versus-MCD43A3 sensitivity of fitted AlbedoLoss contribution","src/validation/03_editor_revision_controls.py","src/validation/03_editor_revision_controls.py","data/source_data/editor_revision/AlbedoLoss_SHAP_contribution_by_period.csv","reference_outputs/supplementary/Supplementary_Fig_S13_AlbedoLoss_product_sensitivity.png","verified compact source data"
